STATION,NAME,LATITUDE,LONGITUDE,ELEVATION
US1NYNG0012,"LOCKPORT 0.8 NE, NY US",43.176446,-78.683391,158.8
USC00305714,"NEWCOMB, NY US",43.9707,-74.222,502
USC00305715,"NEWFANE, NY US",43.28809,-78.7068,104.2
US1NYOD0019,"NEW HARTFORD 0.8 S, NY US",43.06182,-75.289864,211.8
US1NYWS0008,"GRANVILLE 9.5 SW, NY US",43.31163,-73.39613,234.4
US1NYSY0001,"SMITH VALLEY 1.9 SE, NY US",42.39072,-76.71761,426.1
USC00301708,"CONKLINGVILLE DAM, NY US",43.3203,-73.9256,246.3
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",43.22417,-75.39563,144.7
USW00064776,"PLATTSBURGH INTERNATIONAL AIRPORT, NY US",44.63923,-73.46312,50.4
US1NYWS0010,"SALEM 2.3 SSE, NY US",43.143967,-73.307856,246.3
US1NYSC0032,"SCHENECTADY 1.5 ENE, NY US",42.813476,-73.902739,121.3
US1NYSC0031,"NISKAYUNA 0.7 NE, NY US",42.824535,-73.887249,119.8
US1NYSC0030,"AMSTERDAM 6.4 E, NY US",42.934625,-74.065023,214.6
USC00305840,"NIAGARA FALLS, NY US",43.0856,-78.972,179.2
US1NYOD0023,"DURHAMVILLE 3.5 NNW, NY US",43.17115,-75.68279,120.1
USC00304996,"MALONE, NY US",44.8418,-74.306,267.6
USC00305606,"MOUNT SINAI, NY US",40.933,-73.0191,15.2
US1NYAB0001,"ALTAMONT 2.7 SSW, NY US",42.66696,-74.05088,445
US1NYSY0011,"DUNDEE 6.2 E, NY US",42.5221,-76.8558,331.9
USC00300608,"BENNETTS BRIDGE, NY US",43.5318,-75.9526,201.2
US1NYCM0010,"VAN ETTEN 0.3 ENE, NY US",42.2,-76.55,182.9
