id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
27580964,7,0,0,2018-09-21,2018-10-13,5,5,5,5,5,5,5,0.18
27581016,81,0,0,2018-09-23,2019-10-16,4.59,4.76,4.67,4.84,4.9,4.57,4.53,2.08
27583185,7,0,0,2018-11-19,2018-11-11,5,5,5,5,5,4.83,5,0.19
27583483,1,0,0,2018-08-08,2018-08-08,0,NA,NA,NA,NA,NA,NA,0.02
27584915,1,1,0,2021-04-14,2021-04-14,1,2,3,2,2,2,2,0.13
27584957,2,0,0,2018-09-26,2019-04-26,5,5,5,5,5,5,5,0.05
27585318,5,0,0,2019-10-31,2020-08-31,5,5,4.6,5,5,4.8,4.8,0.2
27585912,4,0,0,2018-09-09,2019-02-06,5,5,5,5,5,5,5,0.1
27593335,4,0,0,2018-10-26,2019-11-11,5,5,5,5,5,5,5,0.11
27598172,6,0,0,2018-08-12,2019-01-10,4.83,5,5,4.83,5,5,5,0.15
27598707,228,71,3,2018-09-01,2021-11-13,4.39,4.42,4.79,4.67,4.5,4.8,4.36,5.74
27600437,5,3,0,2018-12-02,2021-01-27,3.2,3.4,4,4.2,3.6,4.6,3.6,0.14
27602003,14,0,0,2018-08-19,2020-09-07,4.86,4.93,4.79,5,4.93,4.93,4.79,0.35
27602303,3,0,0,2018-08-20,2018-09-23,5,5,5,5,5,4.67,5,0.07
27602987,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27603505,5,0,0,2018-09-18,2020-09-15,5,5,5,5,5,4.6,5,0.13
27604639,69,0,0,2018-10-08,2019-12-27,4.61,4.7,4.58,4.78,4.79,4.48,4.66,1.79
27606552,23,3,0,2019-05-09,2021-09-05,4.77,4.73,4.68,4.68,4.82,4.86,4.73,0.73
27606720,15,4,0,2018-09-09,2021-10-25,4.73,4.87,4.8,4.87,4.93,4.93,4.73,0.38
27608063,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27609132,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27609355,1,0,0,2019-12-07,2019-12-07,3,4,3,4,4,5,4,0.04
27609929,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27610245,45,7,0,2018-08-27,2021-10-31,4.96,4.96,4.98,4.98,4.98,4.93,4.87,1.13
27610367,7,7,2,2021-05-29,2021-11-26,5,5,5,5,5,5,5,1.1
27612876,67,22,6,2019-07-11,2021-11-27,4.85,4.96,4.97,4.96,4.91,4.84,4.79,2.29
27622210,41,0,0,2019-04-19,2020-11-01,4.88,4.93,4.95,4.85,4.9,4.88,4.73,1.28
27623260,7,0,0,2018-09-09,2019-06-24,5,5,5,5,5,5,4.83,0.18
27623360,3,0,0,2018-08-21,2018-08-15,4.67,5,5,5,5,5,4.67,0.07
27624539,2,0,0,2018-11-14,2018-12-04,5,5,5,5,5,5,5,0.05
27627627,14,6,0,2018-09-25,2021-08-30,4.57,4.79,4.71,4.86,4.64,4.64,4.36,0.36
27628195,1,0,0,2018-11-25,2018-11-25,5,5,4,5,5,4,4,0.03
27628754,12,4,0,2019-01-01,2021-08-08,5,5,4.75,5,5,4.83,4.83,0.34
27635012,30,0,0,2019-12-29,2020-07-05,4.72,4.83,4.59,4.97,4.97,4.93,4.52,1.27
27637065,104,62,3,2018-11-05,2021-11-23,4.88,4.88,4.84,4.94,4.89,4.7,4.83,2.77
27651236,20,4,1,2018-12-08,2021-11-20,4.65,4.75,4.6,4.75,4.7,4.8,4.55,0.55
